,close,open,high,low,estimated-transaction-volume-usd,n-transactions,hash-rate,difficulty,cost-per-transaction,Gold price,output-volume,trade-volume,USD-CNY Price,SVI,Wikiviews
2017-01-01,998.079443,966.567909,1005.0746019999999,961.719392,166788994.438506,180502.0,2463610.66220928,317688400354.0,10.9144792021981,1377.3165532879816,1084340.88487891,3989748.4776,6.729909852598917,7.0,3139
2017-01-02,1018.369458,998.079638,1033.051602,994.997792,279981138.022653,290951.0,2526780.16636849,317688400354.0,7.3506055021278,1294.6,1573981.61537313,6822471.0008,6.945,18.57471264367816,9165
2017-01-03,1036.7504609999999,1018.367417,1037.211425,1014.576142,341754284.937987,301664.0,2589949.6705277,317688400354.0,7.41546586129318,1295.6,1950525.35497187,8324525.7718,6.961,18.57471264367816,12354
2017-01-04,1137.2398970000002,1036.750186,1146.9563289999999,1036.327096,433678086.930274,328642.0,2432025.91012967,317688400354.0,7.00053134256953,1287.3,2482037.82084987,9340584.1613,6.9351,18.57471264367816,10757
2017-01-05,1002.86,1137.239606,1165.785631,883.4809300000001,565779976.610049,288501.0,2210932.64557243,317688400354.0,6.913397893734469,1287.4,2998215.11154757,23870110.3524,6.89,18.57471264367816,11938
2017-01-06,895.3329630000001,1002.86,1026.178635,876.460275,451663626.106073,346405.0,2542572.54240829,317688400354.0,5.76884857502753,1288.6,3100652.30632109,36041021.225999996,6.9207,18.57471264367816,10331
2017-01-07,907.241903,895.3327800000001,908.541322,819.006887,295587982.400845,282060.0,2195140.26953263,317688400354.0,5.642449450739419,1377.3165532879816,2152944.55351849,24821291.634,6.729909852598917,18.57471264367816,6626
2017-01-08,914.8344199999999,907.2425189999999,940.4621189999999,889.468166,210928000.866921,260101.0,2637326.79864711,317688400354.0,7.65456682737101,1377.3165532879816,1679995.29932848,18500660.948,6.729909852598917,6.0,5705
2017-01-09,901.4075710000001,914.8316189999999,914.8316189999999,877.09639,272509052.560264,269947.0,2147763.14141322,317688400354.0,6.00323317763685,1308.3,2095379.05522485,8183329.3367,6.9375,18.57471264367816,8396
2017-01-10,905.3428140000001,901.395668,915.878325,899.2277349999999,287618545.51089704,323888.0,2679581.83959097,319489481520.344,5.9380020199855705,1309.0,2359325.55048211,7805347.6388,6.9215,18.57471264367816,8109
2017-01-11,778.83978,905.3939330000001,921.594662,759.942371,413905306.443591,303058.0,2562350.13410886,336899932795.0,5.6125922889297994,1302.6,3980330.05363421,7672082.4366,6.9377,18.57471264367816,8710
2017-01-12,806.0538280000001,778.839783,831.442185,748.698368,303994536.99954903,295125.0,2897297.86405773,336899932795.0,5.96202090950719,1283.1,3521724.1432035,28015965.7428,6.8915,18.57471264367816,8944
2017-01-13,827.310924,806.053855,831.181634,776.802413,246890176.53176698,272747.0,2528855.36111398,336899932795.0,5.79404997726875,1295.6,2361739.55816022,14078161.6472,6.9005,18.57471264367816,8461
2017-01-14,817.6709179999999,827.308453,838.462239,808.878295,160003664.087728,242269.0,2880550.47756029,336899932795.0,7.7546010293469205,1377.3165532879816,1500321.71960313,9404142.0,6.729909852598917,18.57471264367816,6769
2017-01-15,821.4871870000001,817.6711230000001,822.860239,807.731692,157085269.544606,235999.0,2796813.54507307,336899932795.0,7.45382370860672,1296.0,1725125.55521011,5423872.0505,6.729909852598917,4.0,4410
2017-01-16,831.648372,821.4871870000001,836.161989,817.273138,208260163.869729,267640.0,2830308.31806796,336899932795.0,6.8839410352612695,1298.9,2087940.54585886,3474817.1122,6.9009,18.57471264367816,6760
2017-01-17,905.013416,831.648372,908.0836019999999,829.154941,291783384.76445097,292697.0,2646087.06659608,336899932795.0,6.3179033470044414,1300.7,2310740.48936347,5119513.7008,6.8546,18.57471264367816,9082
2017-01-18,887.397051,905.048406,914.635971,851.3467609999999,258544170.65519503,297100.0,2528855.36111398,336899932795.0,5.867552838816791,1290.5,1935116.59199936,11126738.064000001,6.839,18.57471264367816,7310
2017-01-19,902.151239,887.3970289999999,908.0797359999999,884.24951,232438071.96203798,300605.0,2914045.25055518,336899932795.0,6.785850626098981,1284.2,2603895.11021255,9856912.8768,6.8712,18.57471264367816,7845
2017-01-20,895.4843199999999,902.151242,902.3733199999999,883.185968,230847365.361512,298377.0,3165256.04801683,336899932795.0,7.51814292256151,1280.6,2588414.22285186,10059712.179,6.8765,18.57471264367816,5719
2017-01-21,924.1671550000001,895.4843199999999,928.7795570000001,894.537622,210309696.023502,263562.0,3031276.95603728,336899932795.0,8.25555596053456,1377.3165532879816,1533463.23287315,5933570.217999999,6.729909852598917,18.57471264367816,4105
2017-01-22,923.4130460000001,924.168452,938.3657,892.908367,210313964.544514,236886.0,3398969.89226469,339477557142.08,8.759777332451732,1377.3165532879816,1135726.93181572,5415815.3595,6.729909852598917,4.0,4347
2017-01-23,914.99,923.4130460000001,927.9938710000001,914.260308,196893334.81112298,235530.0,2715269.05186662,392963262344.0,7.14951426873412,1288.0,1522815.66754358,6593137.6555,6.8539,18.57471264367816,7869
2017-01-24,886.142057,914.7508640000001,923.440142,884.5025619999999,237838497.61272797,278177.0,2910612.14912321,392963262344.0,6.50967287143476,1293.4,1956073.1357115002,3210327.312,6.859,18.57471264367816,6783
2017-01-25,893.60059,886.141964,902.6932039999999,885.8258210000001,266770577.731972,304727.0,2930146.45884887,392963262344.0,5.85343030683339,1303.1,1930677.6361901,8342618.2107,6.8836,18.57471264367816,6104
2017-01-26,915.431075,893.60059,918.415228,893.5863720000001,224547250.604306,313755.0,3066886.62692848,392963262344.0,5.943705466991481,1300.0,2113175.40297516,4730355.2448,6.8817,18.57471264367816,5788
2017-01-27,917.259501,915.431075,922.218914,908.5052539999999,172519954.089837,263332.0,3320832.65336205,392963262344.0,7.784996433107049,1327.2,1800256.1783777,4725016.2335,6.8817,18.57471264367816,5867
2017-01-28,919.385524,917.259501,923.232016,917.0287720000001,112142903.966695,246395.0,2969215.07830019,392963262344.0,7.59248618931995,1377.3165532879816,1249362.25322994,4435282.6941,6.729909852598917,18.57471264367816,6059
2017-01-29,913.074384,919.385775,923.5078369999999,912.2181949999999,133740567.74845201,241627.0,3262229.72418507,392963262344.0,8.344249086183469,1377.3165532879816,1375857.61441291,1080471.6578,6.729909852598917,4.0,4559
2017-01-30,919.543827,913.0660230000001,922.102217,910.9672109999999,148216976.17515,247408.0,2852009.21994623,392963262344.0,7.1942955906618895,1318.7,1462181.22228701,1219424.7139,6.8817,18.57471264367816,6575
2017-01-31,967.177316,919.544655,969.7347550000001,919.2164640000001,223566247.35351002,307683.0,2832474.91022057,392963262344.0,6.01768913189268,1320.1,1791768.77982264,2851760.8,6.8817,18.57471264367816,6785
2017-02-01,983.683419,967.177316,985.675321,962.925078,263375235.39007998,350560.0,3750587.46732655,392963262344.0,7.0791515997670995,1305.5,2078948.61654928,9219042.353,6.8817,18.57471264367816,7279
2017-02-02,1007.271509,983.683419,1010.2875210000001,975.261116,212437107.387626,259559.0,3066886.62692848,392963262344.0,8.14953542491348,1308.7,1851685.6656797,6847946.828,6.8817,18.57471264367816,6503
2017-02-03,1016.5128880000001,1007.271509,1023.065325,993.3711789999999,267577532.23583198,323563.0,2910612.14912321,392963262344.0,6.33718485470554,1298.0,2438292.66080781,8336697.8968,6.8697,18.57471264367816,5933
