,close-1,open-1,high-1,low-1,estimated-transaction-volume-usd-1,n-transactions-1,hash-rate-1,difficulty-1,cost-per-transaction-1,Gold price-1,output-volume-0,trade-volume-1,USD-CNY Price-1,SVI-0,Wikiviews-0
2017-01-01,15470.656119120806,15446.307985541449,15900.046759902809,14932.582596200979,2004008559.5030272,282361.69934282586,74789091.54340641,10345160474648.396,72.06656831636843,1377.3165532879839,1084340.88487891,382889165.14546275,6.729909852598874,7.0,3139
2017-01-02,20.29001500000004,31.51172900000006,27.976999999999975,33.27840000000003,113192143.58414698,110449.0,63169.50415921025,0.0,-3.5638737000703005,-82.7165532879817,1573981.61537313,2832722.5231999997,0.21509014740108334,18.57471264367816,9165
2017-01-03,18.381003000000078,20.287779,4.15982299999996,19.57835,61773146.915334046,10713.0,63169.504159209784,0.0,0.06486035916538047,1.0,1950525.35497187,1502054.7710000006,0.016000000000000014,18.57471264367816,12354
2017-01-04,100.48943599999984,18.38276899999994,109.74490400000013,21.75095399999998,91923801.99228698,26978.0,-157923.76039802982,0.0,-0.4149345187236504,-8.299999999999955,2482037.82084987,1016058.3894999996,-0.025900000000000034,18.57471264367816,10757
2017-01-05,-134.37989699999991,100.48942000000011,18.82930199999987,-152.84616600000004,132101889.679775,-40141.0,-221093.26455724007,0.0,-0.08713344883505947,0.10000000000013642,2998215.11154757,14529526.191100001,-0.045100000000000584,18.57471264367816,11938
2017-01-06,-107.52703700000006,-134.37960600000008,-139.60699599999998,-7.02065499999992,-114116350.50397599,57904.0,331639.89683585986,0.0,-1.1445493187069404,1.199999999999818,3100652.30632109,12170910.873600002,0.030700000000000394,18.57471264367816,10331
2017-01-07,11.90894000000003,-107.52722000000006,-117.63731299999995,-57.45338800000002,-156075643.70522803,-64345.0,-347432.27287565963,0.0,-0.12639912428810973,88.7165532879817,2152944.55351849,-11219729.592000004,-0.19079014740108313,18.57471264367816,6626
2017-01-08,7.5925170000000435,11.909739000000059,31.920796999999993,70.46127899999999,-84659981.53392398,-21959.0,442186.52911447966,0.0,2.01211737663159,0.0,1679995.29932848,-6320630.686000001,0.0,6.0,5705
2017-01-09,-13.426849000000061,7.58910000000003,-25.630499999999984,-12.371775999999954,61581051.69334298,9846.0,-489563.6572338897,0.0,-1.65133364973416,-69.01655328798165,2095379.05522485,-10317331.611299999,0.20759014740108306,18.57471264367816,8396
2017-01-10,3.935243000000014,-13.435951000000045,1.046705999999972,22.13134500000001,15109492.95063299,53941.0,531818.6981777498,1801081166.3439941,-0.06523115765128029,0.7000000000000455,2359325.55048211,-377981.6979,-0.016000000000000014,18.57471264367816,8109
2017-01-11,-126.50303399999996,3.9982649999999467,5.716336999999953,-139.28536400000007,126286760.93269402,-20830.0,-117231.70548210992,17410451274.656006,-0.3254097310557693,-6.400000000000091,3980330.05363421,-133265.20220000017,0.016200000000000436,18.57471264367816,8710
2017-01-12,27.214047999999934,-126.55414999999994,-90.15247699999998,-11.24400300000002,-109910769.44404203,-7933.0,334947.7299488699,0.0,0.34942862057739,-19.5,3521724.1432035,20343883.3062,-0.046200000000000685,18.57471264367816,8944
2017-01-13,21.257096000000047,27.214071999999987,-0.260550999999964,28.104045000000042,-57104360.46778196,-22378.0,-368442.50294375,0.0,-0.16797093223844062,12.5,2361739.55816022,-13937804.095600002,0.009000000000000341,18.57471264367816,8461
2017-01-14,-9.640005999999971,21.254597999999987,7.280604999999923,32.07588199999998,-86886512.44403902,-30478.0,351695.1164463102,0.0,1.96055105207817,81.7165532879817,1500321.71960313,-4674019.6472,-0.17059014740108314,18.57471264367816,6769
2017-01-15,3.81626899999992,-9.63733000000002,-15.601999999999975,-1.1466030000000274,-2918394.5431219935,-6270.0,-83736.93248722004,0.0,-0.3007773207401998,-81.3165532879816,1725125.55521011,-3980269.9495,0.0,4.0,4410
2017-01-16,10.161185000000046,3.816063999999983,13.30174999999997,9.541446000000064,51174894.32512301,31641.0,33494.77299488988,0.0,-0.5698826733454494,2.900000000000091,2087940.54585886,-1949054.9383,0.1709901474010831,18.57471264367816,6760
2017-01-17,73.36504400000001,10.161185000000046,71.9216130000001,11.88180299999999,83523220.89472201,25057.0,-184221.2514718799,0.0,-0.5660376882568308,1.7999999999999545,2310740.48936347,1644696.5886,-0.04630000000000045,18.57471264367816,9082
2017-01-18,-17.616364999999973,73.400034,6.552368999999999,22.191820000000007,-33239214.10925603,4403.0,-117231.70548210014,0.0,-0.45035050818764955,-10.200000000000045,1935116.59199936,6007224.3632,-0.01559999999999917,18.57471264367816,7310
2017-01-19,14.754188,-17.651377000000025,-6.556235000000015,32.90274899999997,-26106098.693156987,3505.0,385189.88944120007,0.0,0.9182977872821896,-6.2999999999999545,2603895.11021255,-1269825.1871999986,0.03219999999999956,18.57471264367816,7845
