"Date","Price","Open","High","Low","Change %"
"Dec 09, 2021","1.1285","1.1344","1.1344","1.1279","-0.51%"
"Dec 08, 2021","1.1342","1.1267","1.1356","1.1264","0.70%"
"Dec 07, 2021","1.1263","1.1287","1.1301","1.1228","-0.19%"
"Dec 06, 2021","1.1285","1.1321","1.1321","1.1266","-0.25%"
"Dec 03, 2021","1.1313","1.1301","1.1334","1.1265","0.12%"
"Dec 02, 2021","1.1299","1.1320","1.1349","1.1294","-0.18%"
"Dec 01, 2021","1.1319","1.1339","1.1360","1.1302","-0.15%"
"Nov 30, 2021","1.1336","1.1291","1.1384","1.1236","0.40%"
"Nov 29, 2021","1.1291","1.1309","1.1316","1.1258","-0.23%"
"Nov 26, 2021","1.1317","1.1209","1.1331","1.1205","0.99%"
"Nov 25, 2021","1.1206","1.1198","1.1231","1.1198","0.08%"
"Nov 24, 2021","1.1197","1.1248","1.1256","1.1185","-0.44%"
"Nov 23, 2021","1.1246","1.1237","1.1276","1.1226","0.11%"
"Nov 22, 2021","1.1234","1.1292","1.1293","1.1230","-0.49%"
"Nov 19, 2021","1.1289","1.1371","1.1374","1.1250","-0.70%"
"Nov 18, 2021","1.1369","1.1319","1.1375","1.1314","0.44%"
"Nov 17, 2021","1.1319","1.1321","1.1333","1.1264","0.00%"
"Nov 16, 2021","1.1319","1.1368","1.1386","1.1309","-0.42%"
"Nov 15, 2021","1.1367","1.1452","1.1465","1.1356","-0.72%"
"Nov 12, 2021","1.1450","1.1454","1.1463","1.1432","0.00%"
"Nov 11, 2021","1.1450","1.1482","1.1488","1.1443","-0.24%"
"Nov 10, 2021","1.1478","1.1593","1.1596","1.1475","-0.97%"
"Nov 09, 2021","1.1591","1.1588","1.1609","1.1569","0.04%"
